abc_name,abc_name_raw,abc_state,bp_name,bp_name_raw,bp_url,bp_url_filename
Yolanda Flowers,Yolanda Flowers,Alabama,Yolanda Flowers,"Yolanda Flowers (D)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Yolanda-Flowers.PNG,Yolanda-Flowers.PNG
Les Gara,Les Gara,Alaska,Les Gara,Les Gara ,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Les_Gara.JPG,Les_Gara.JPG
Katie Hobbs,Katie Hobbs,Arizona,Katie Hobbs,"Katie Hobbs (D)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Katie-Hobbs.PNG,Katie-Hobbs.PNG
Chris Jone,Chris Jone,Arkansas,Chris Jones,"Chris Jones (D) 
",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Chris-Jones.jpg,Chris-Jones.jpg
Gavin Newsom,Gavin Newsom,California,Gavin Newsom,"Gavin Newsom (D)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/399px-Gavin_Newsom_official_photo.jpg,399px-Gavin_Newsom_official_photo.jpg
Jared Polis,Jared Polis,Colorado,Jared Polis,"Jared Polis (D)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Jared_Polis.jpg,Jared_Polis.jpg
Ned Lamont,Ned Lamont,Connecticut,Ned Lamont,"Ned Lamont (D / Working Families Party / Griebel Frank for CT Party)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/nedlamont.jpg,nedlamont.jpg
Charlie Crist,Charlie Crist,Florida,Charlie Crist,"Charlie Crist (D)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Charlie_Crist_115th_Congress_photo.jpg,Charlie_Crist_115th_Congress_photo.jpg
Stacey Abrams,Stacey Abrams,Georgia,Stacey Abrams,"Stacey Abrams (D)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Stacey_Abrams.jpg,Stacey_Abrams.jpg
Josh Green,Josh Green,Hawaii,Joshua Green,"Joshua Green (D)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Joshua-Green.PNG,Joshua-Green.PNG
Stephen Heidt,Stephen Heidt,Idaho,Stephen Heidt,"Stephen Heidt (D) 
",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Stephen-Heidt.PNG,Stephen-Heidt.PNG
J.B. Pritzker,J.B. Pritzker,Illinois,J.B. Pritzker,"J.B. Pritzker (D)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/JB_Pritzker.jpg,JB_Pritzker.jpg
Deidre DeJear,Deidre DeJear,Iowa,Deidre DeJear,"Deidre DeJear (D)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Deidre-DeJear.PNG,Deidre-DeJear.PNG
Laura Kelly,Laura Kelly,Kansas,Laura Kelly,"Laura Kelly (D)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Laura_Kelly.jpg,Laura_Kelly.jpg
Janet Mills,Janet Mills,Maine,Janet T. Mills,"Janet T. Mills (D)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Janet_Mills.jpg,Janet_Mills.jpg
Wes Moore,Wes Moore,Maryland,Wes Moore,"Wes Moore (D)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Wes_Moore.jpg,Wes_Moore.jpg
Maura Healey,Maura Healey,Massachusetts,Maura Healey,"Maura Healey (D)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Maura-Healey.PNG,Maura-Healey.PNG
Gretchen Whitmer,Gretchen Whitmer,Michigan,Gretchen Whitmer,"Gretchen Whitmer (D)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Gretchen-Whitmer.jpg,Gretchen-Whitmer.jpg
Tim Walz,Tim Walz,Minnesota,Tim Walz,"Tim Walz (D)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Tim_Walz.jpg,Tim_Walz.jpg
Carol Blood,Carol Blood,Nebraska,Carol Blood,"Carol Blood (D)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Carol_Blood_portrait.jpg,Carol_Blood_portrait.jpg
Steve Sisolak,Steve Sisolak,Nevada,Steve Sisolak,"Steve Sisolak (D)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/WEB_GovElectSisolak.jpg,WEB_GovElectSisolak.jpg
Tom Sherman,Tom Sherman,New Hampshire,Tom Sherman,"Tom Sherman (D)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/TomSherman3.jpg,TomSherman3.jpg
Michelle Lujan Grisham,Michelle Lujan Grisham,New Mexico,Michelle Lujan Grisham,"Michelle Lujan Grisham (D)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/188px-MichelleLujanGrisham.jpg,188px-MichelleLujanGrisham.jpg
Kathy Hochul,Kathy Hochul,New York,Kathy Hochul,"Kathy Hochul (D / Working Families Party)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/ad05paDl_400x400.jpg,ad05paDl_400x400.jpg
