wmpid,cand_name,full_name,cand_office_st,cand_office_dist,cand_party_affiliation,matches,bp_name_raw,bp_url,bp_name,bp_url_filename,_merge,hc_face_note,hc_face_url,hc_first_name,hc_last_name,hc_middle_name,hc_suffix,hc_affix,hc_name_other,hc_double_surname,hc_office_district,hc_office_district_note
WMPID2014,"PALIN, SARAH",Sarah Palin,AK,0,REP,Sarah Palin,Sarah Palin ,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Sarah_Palin.PNG,Sarah Palin,Sarah_Palin.PNG,both,,,,,,,,,,,
WMPID4003,"BEGICH, NICHOLAS III",Nicholas III Begich,AK,0,REP,Nicholas Begich,Nicholas Begich ,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Nick-Begich.PNG,Nicholas Begich,Nick-Begich.PNG,both,,,,,,,,,,,
WMPID4308,"PELTOLA, MARY",Mary Peltola,AK,0,DEM,Mary Peltola,Mary Peltola ,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Mary-Peltola.PNG,Mary Peltola,Mary-Peltola.PNG,both,,,,,,,,,,,
WMPID4360,"SWEENEY, TARA M",Tara Sweeney,AK,0,REP,,,,,,left_only,,,,,,,,,,,
WMPID5148,"ROGERS, DAVID L.",David Rogers,DE,0,OTH,David Rogers,"David Rogers (Nonpartisan Party)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/DavidRogers.jpg,David Rogers,DavidRogers.jpg,both,,,,,,,,,,,
WMPID5144,"MCNUTT, CODY",Cody Mcnutt,DE,0,LIB,Cody McNutt,"Cody McNutt (L)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Cody-McNutt.PNG,Cody McNutt,Cody-McNutt.PNG,both,,,,,,,,,,,
WMPID959,"BLUNT ROCHESTER, LISA",Lisa Blunt Rochester,DE,0,DEM,Lisa Blunt Rochester,"Lisa Blunt Rochester (D)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Lisa_Blunt_Rochester.jpg,Lisa Blunt Rochester,Lisa_Blunt_Rochester.jpg,both,,,,,,,,,,,
WMPID5139,"WALKER, SCOTT",Scott Walker,DE,0,W,Scott Walker,"Scott Walker (Independent) (Write-in)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Scott_WalkerDE.jpeg,Scott Walker,Scott_WalkerDE.jpeg,both,,,,,,,,,,,
WMPID1084,"MURPHY, LEE",Lee Murphy,DE,0,REP,Lee Murphy,"Lee Murphy (R)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Lee_Murphy_for_U.S._Congress_Delaware_photo.JPG,Lee Murphy,Lee_Murphy_for_U.S._Congress_Delaware_photo.JPG,both,,,,,,,,,,,
WMPID2318,"HAUGEN, MARK",Mark Haugen,ND,0,DEM,Mark Haugen,"Mark Haugen 
",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/KELLY_ARMSTRONG.jpg,Mark Haugen,KELLY_ARMSTRONG.jpg,both,,,,,,,,,,,
WMPID5103,"MUND, CARA",Cara Mund,ND,0,(I),Cara Mund,"Cara Mund (Independent)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Cara_Mund.PNG,Cara Mund,Cara_Mund.PNG,both,,,,,,,,,,,
WMPID1171,"ARMSTRONG, KELLY",Kelly Armstrong,ND,0,REP,Kelly Armstrong,"Kelly Armstrong (R)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/KELLY_ARMSTRONG.jpg,Kelly Armstrong,KELLY_ARMSTRONG.jpg,both,,,,,,,,,,,
WMPID5122,"DUPREL, COLLIN",Collin Duprel,SD,0,LIB,Collin Duprel,"Collin Duprel (L)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Collin_Duprel2.jpg,Collin Duprel,Collin_Duprel2.jpg,both,,,,,,,,,,,
WMPID1231,"JOHNSON, DUSTY",Dusty Johnson,SD,0,REP,Dusty Johnson,"Dusty Johnson (R)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Dusty_Johnson_resize.jpg,Dusty Johnson,Dusty_Johnson_resize.jpg,both,,,,,,,,,,,
WMPID5069,"NOLFI, BARBARA",Barbara Nolfi,VT,0,PRO,,,,,,left_only,,,,,,,,,,,
WMPID2308,"BALINT, REBECCA BECCA",Rebecca Becca Balint,VT,0,DEM,Becca Balint,"Becca Balint (D)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Becca-Balint.PNG,Becca Balint,Becca-Balint.PNG,both,,,,,,,,,,,
WMPID2620,"MADDEN, LIAM",Liam Madden,VT,0,IND,Liam Madden,"Liam Madden (R) 
",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Liam_Madden.png,Liam Madden,Liam_Madden.png,both,,,,,,,,,,,
WMPID767,"GREYBULL, LYNNETTE",Lynnette Grey Bull,WY,0,DEM,Lynnette Grey Bull,"Lynnette Grey Bull (D)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/LynnetteGreyBullWY.png,Lynnette Grey Bull,LynnetteGreyBullWY.png,both,,,,,,,,,,,
WMPID5149,"BRUBAKER, RICHARD P.",Richard Brubaker,WY,0,LIB,Richard Brubaker,"Richard Brubaker (L)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Richard_Brubaker.jpg,Richard Brubaker,Richard_Brubaker.jpg,both,,,,,,,,,,,
