usps_code,fips_code,state_name,full_name,face_url
DE,10,DELAWARE,John Carney,https://www.nga.org/wp-content/uploads/2018/03/Governor-Carney-768x768.jpg
IN,18,INDIANA,Eric J. Holcomb,https://www.nga.org/wp-content/uploads/2018/03/Holcomb-LG-Headshot.jpeg
KY,21,KENTUCKY,Andy Beshear,https://www.nga.org/wp-content/uploads/2019/12/Governor-Andy-Beshear-homepage-2.jpg
LA,22,LOUISIANA,John Bel Edwards,https://www.nga.org/wp-content/uploads/2018/06/John-Bel-Edwards.jpg
MO,29,MISSOURI,Mike Parson,https://www.nga.org/wp-content/uploads/2019/09/GovernorParson_square.png
MS,28,MISSISSIPPI,Tate Reeves,https://www.nga.org/wp-content/uploads/2020/01/Tate-Reeves-scaled.jpg
MT,30,MONTANA,Greg Gianforte,https://www.nga.org/wp-content/uploads/2020/11/Montana-Greg-Gianforte-January-2021.jpg
NC,37,NORTH CAROLINA,Roy Cooper,https://www.nga.org/wp-content/uploads/2019/02/North-Carolina-Roy-Cooper-January-2019.jpg
ND,38,NORTH DAKOTA,Doug Burgum,https://www.nga.org/wp-content/uploads/2018/06/G0v_Burgum-NorthDakota.jpg
NJ,34,NEW JERSEY,Phil Murphy,https://www.nga.org/wp-content/uploads/2018/06/NJ-Phil-Murphy.jpg
UT,49,UTAH,Spencer J. Cox,https://www.nga.org/wp-content/uploads/2021/01/Governor_Cox_official_square-scaled.jpg
VA,51,VIRGINIA,Glenn Youngkin,https://www.nga.org/wp-content/uploads/2022/01/Governor-Glenn-Youngkin-Official-photo2022.jpg
WA,53,WASHINGTON,Jay Inslee,https://www.nga.org/wp-content/uploads/2019/09/Gov_Inslee_1_8_20_HighContrast_square.jpg
WV,54,WEST VIRGINIA,"James C. Justice, II",https://www.nga.org/wp-content/uploads/2019/02/West-Virginia-Jim-Justice-February-2019.jpg
