face_name,face_url,face_source,face_category,wmpid_status
Alberto Fernández,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Mensaje_de_fin_de_a%C3%B1o_del_Presidente_Alberto_Fern%C3%A1ndez_%28cropped%29.jpg/220px-Mensaje_de_fin_de_a%C3%B1o_del_Presidente_Alberto_Fern%C3%A1ndez_%28cropped%29.jpg,https://en.wikipedia.org/wiki/G20,international leaders,No
Anthony Albanese,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Anthony_Albanese_portrait_%28cropped%29.jpg/220px-Anthony_Albanese_portrait_%28cropped%29.jpg,https://en.wikipedia.org/wiki/G20,international leaders,No
Jair Bolsonaro,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Jair_Bolsonaro_em_24_de_abril_de_2019_%281%29_%28cropped%29.jpg/220px-Jair_Bolsonaro_em_24_de_abril_de_2019_%281%29_%28cropped%29.jpg,https://en.wikipedia.org/wiki/G20,international leaders,No
Justin Trudeau,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Justin_Trudeau_March_2022.jpg/220px-Justin_Trudeau_March_2022.jpg,https://en.wikipedia.org/wiki/G20,international leaders,No
Xi Jinping,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Xi_Jinping_2019.jpg/220px-Xi_Jinping_2019.jpg,https://en.wikipedia.org/wiki/G20,international leaders,No
Emmanuel Macron,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/%D0%97%D1%83%D1%81%D1%82%D1%80%D1%96%D1%87_%D0%9F%D1%80%D0%B5%D0%B7%D0%B8%D0%B4%D0%B5%D0%BD%D1%82%D0%B0_%D0%A3%D0%BA%D1%80%D0%B0%D1%97%D0%BD%D0%B8_%D0%B7_%D0%BF%D1%80%D0%B5%D0%B7%D0%B8%D0%B4%D0%B5%D0%BD%D1%82%D0%B0%D0%BC%D0%B8_%D0%A4%D1%80%D0%B0%D0%BD%D1%86%D1%96%D1%97_%D1%82%D0%B0_%D0%A0%D1%83%D0%BC%D1%83%D0%BD%D1%96%D1%97%2C_%D0%B0_%D1%82%D0%B0%D0%BA%D0%BE%D0%B6_%D0%B3%D0%BE%D0%BB%D0%BE%D0%B2%D0%B0%D0%BC%D0%B8_%D1%83%D1%80%D1%8F%D0%B4%D1%96%D0%B2_%D0%9D%D1%96%D0%BC%D0%B5%D1%87%D1%87%D0%B8%D0%BD%D0%B8_%D1%82%D0%B0_%D0%86%D1%82%D0%B0%D0%BB%D1%96%D1%97_76_%28cropped%29.jpg/220px-thumbnail.jpg,https://en.wikipedia.org/wiki/G20,international leaders,No
Olaf Scholz,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Olaf_Scholz_In_March_2022.jpg/220px-Olaf_Scholz_In_March_2022.jpg,https://en.wikipedia.org/wiki/G20,international leaders,No
Narendra Modi,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Official_Photograph_of_Prime_Minister_Narendra_Modi_Potrait.png/220px-Official_Photograph_of_Prime_Minister_Narendra_Modi_Potrait.png,https://en.wikipedia.org/wiki/G20,international leaders,No
Joko Widodo,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Joko_Widodo_2019_official_portrait.jpg/220px-Joko_Widodo_2019_official_portrait.jpg,https://en.wikipedia.org/wiki/G20,international leaders,No
Giorgia Meloni,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Giorgia_Meloni_2022.jpg/220px-Giorgia_Meloni_2022.jpg,https://en.wikipedia.org/wiki/G20,international leaders,No
Fumio Kishida,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Fumio_Kishida_20211005.jpg/220px-Fumio_Kishida_20211005.jpg,https://en.wikipedia.org/wiki/G20,international leaders,No
Andrés Manuel López Obrador,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Conferencia_de_prensa_del_Presidente_de_M%C3%A9xico_-_Mi%C3%A9rcoles_24_de_junio_de_2020_7_%28cropped_2%29.jpg/220px-Conferencia_de_prensa_del_Presidente_de_M%C3%A9xico_-_Mi%C3%A9rcoles_24_de_junio_de_2020_7_%28cropped_2%29.jpg,https://en.wikipedia.org/wiki/G20,international leaders,No
Yoon Suk-yeol,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/South_Korea_President_Yoon_Suk_Yeol_portrait.jpg/220px-South_Korea_President_Yoon_Suk_Yeol_portrait.jpg,https://en.wikipedia.org/wiki/G20,international leaders,No
Vladimir Putin,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Vladimir_Putin_17-11-2021_%28cropped%29.jpg/220px-Vladimir_Putin_17-11-2021_%28cropped%29.jpg,https://en.wikipedia.org/wiki/G20,international leaders,No
Mohammed bin Salman,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Mohammad_bin_Salman_October_2019_%28cropped%29.jpg/220px-Mohammad_bin_Salman_October_2019_%28cropped%29.jpg,https://en.wikipedia.org/wiki/G20,international leaders,No
Cyril Ramaphosa,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Secretary_Blinken_Meets_with_President_Ramaphosa_%2852274438927%29_%28cropped%29.jpg/220px-Secretary_Blinken_Meets_with_President_Ramaphosa_%2852274438927%29_%28cropped%29.jpg,https://en.wikipedia.org/wiki/G20,international leaders,No
Recep Tayyip Erdoğan,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Recep_Tayyip_Erdogan_in_Ukraine.jpg/220px-Recep_Tayyip_Erdogan_in_Ukraine.jpg,https://en.wikipedia.org/wiki/G20,international leaders,No
Rishi Sunak,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Rishi_Sunak%27s_first_speech_as_Prime_Minister_Front_%28cropped%29.jpg/220px-Rishi_Sunak%27s_first_speech_as_Prime_Minister_Front_%28cropped%29.jpg,https://en.wikipedia.org/wiki/G20,international leaders,No
Joe Biden,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Joe_Biden_presidential_portrait.jpg/220px-Joe_Biden_presidential_portrait.jpg,https://en.wikipedia.org/wiki/G20,international leaders,Yes
