race,cand_name,cand_img,cand_details,race_code,url,vs_state,vs_office,district_no
"
                  Alaska
                  U.S. Senate
                  
                  
                ",Patricia Chesbro,//static.votesmart.org/static/canphoto/68296.jpg,"
                Patricia Chesbro

                (Running)

                Democratic
              ",S,https://static.votesmart.org/static/canphoto/68296.jpg,"Alaska
","U.S. Senate
",
"
                  Alaska
                  U.S. Senate
                  
                  
                ",Ted Gianoutsos,//static.votesmart.org/static/canphoto/27156.jpg,"
                Ted Gianoutsos

                (Running)

                No Party Affiliation, Write-In
              ",S,https://static.votesmart.org/static/canphoto/27156.jpg,"Alaska
","U.S. Senate
",
"
                  Alaska
                  U.S. Senate
                  
                  
                ",Shoshana Gungerstein,//static.votesmart.org/static/canphoto/207789.jpg,"
                Shoshana Gungerstein

                (Running)

                No Party Affiliation, Write-In
              ",S,https://static.votesmart.org/static/canphoto/207789.jpg,"Alaska
","U.S. Senate
",
"
                  Alaska
                  U.S. Senate
                  
                  
                ",Sid Hill,//static.votesmart.org/static/canphoto/145962.jpg,"
                Sid Hill

                (Running)

                No Party Affiliation, Write-In
              ",S,https://static.votesmart.org/static/canphoto/145962.jpg,"Alaska
","U.S. Senate
",
"
                  Alaska
                  U.S. Senate
                  
                  
                ",Buzz Kelley,//static.votesmart.org/static/canphoto/207793.jpg,"
                Buzz Kelley

                (Running)

                Republican
              ",S,https://static.votesmart.org/static/canphoto/207793.jpg,"Alaska
","U.S. Senate
",
"
                  Alaska
                  U.S. Senate
                  
                  
                ",Lisa Murkowski,//static.votesmart.org/static/canphoto/15841.jpg,"
                Lisa Murkowski

                (Running)

                Republican
              ",S,https://static.votesmart.org/static/canphoto/15841.jpg,"Alaska
","U.S. Senate
",
"
                  Alaska
                  U.S. Senate
                  
                  
                ",Joe Stephens,//static.votesmart.org/static/canphoto/207804.jpg,"
                Joe Stephens

                (Running)

                Alaskan Independence, Undeclared, Write-In
              ",S,https://static.votesmart.org/static/canphoto/207804.jpg,"Alaska
","U.S. Senate
",
"
                  Alaska
                  U.S. Senate
                  
                  
                ",Kelly Tshibaka,//static.votesmart.org/static/canphoto/207809.jpg,"
                Kelly Tshibaka

                (Running)

                Republican
              ",S,https://static.votesmart.org/static/canphoto/207809.jpg,"Alaska
","U.S. Senate
",
"
                  Alaska
                  U.S. House
                  
                  
                  At-Large
                  
                  (Special Election)
                ",Nick Begich III,//static.votesmart.org/static/canphoto/207684.jpg,"
                Nick Begich III

                (Lost)

                Republican
              ",H,https://static.votesmart.org/static/canphoto/207684.jpg,"Alaska
","U.S. House
","At-Large
"
"
                  Alaska
                  U.S. House
                  
                  
                  At-Large
                  
                  (Special Election)
                ",Chris Bye,//static.votesmart.org/static/canphoto/207603.jpg,"
                Chris Bye

                (Lost)

                Libertarian, Write-In
              ",H,https://static.votesmart.org/static/canphoto/207603.jpg,"Alaska
","U.S. House
","At-Large
"
