bp_office,bp_url,bp_cand_office
"https://ballotpedia.org/United_States_Senate_election_in_Alabama,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Jeff_Sessions.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_Alabama,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/BrandaunDean2.jpeg,S
"https://ballotpedia.org/United_States_Senate_election_in_Alabama,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Mike_Durant.jpeg,S
"https://ballotpedia.org/United_States_Senate_election_in_Alabama,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/John_SophocleusAL.png,S
"https://ballotpedia.org/United_States_Senate_election_in_Alabama,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Mo_Brooks.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_Alabama,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/RuthPageNelson.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_Alabama,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/KarlaDuPriest.JPG,S
"https://ballotpedia.org/United_States_Senate_election_in_Alabama,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/WillBoyd2.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_Alabama,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Arnold__Mooney.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_Alabama,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Screen_Shot_2019-01-22_at_1.00.36_PM.png,S
"https://ballotpedia.org/United_States_Senate_election_in_Alabama,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/800px-Senator_Doug_Jones_official_photo.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_Alabama,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/schaferjake2.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_Alabama,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/LannyJackson.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_Alabama,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/3CA6F21F-05C2-4335-9304-7BA3CF3B4A94-min.jpeg,S
"https://ballotpedia.org/United_States_Senate_election_in_Alabama,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/brittkatie.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_Alabama,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Tommy-Tuberville.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_Alabama,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Roy-Moore.png,S
"https://ballotpedia.org/United_States_Senate_election_in_Alaska,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Joe_StephensAK.jpeg,S
"https://ballotpedia.org/United_States_Senate_election_in_Alaska,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Buzz-Kelley.PNG,S
"https://ballotpedia.org/United_States_Senate_election_in_Alaska,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Edgar-Blatchford.PNG,S
"https://ballotpedia.org/United_States_Senate_election_in_Alaska,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/KarlSpeights.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_Alaska,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Jun292022409PM_122386209_31791036B0D4438DBEF9BEFE8A79681F.jpeg,S
"https://ballotpedia.org/United_States_Senate_election_in_Alaska,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Ted_Gianoutsos_2014_US_Senate_candidate.jpg,S
