wmpid,cand_name,full_name,cand_office_st,cand_party_affiliation,matches,bp_name_raw,bp_url,bp_name,bp_url_filename,_merge,hc_face_note,hc_face_url,hc_first_name,hc_last_name,hc_middle_name,hc_suffix,hc_affix,hc_name_other,hc_double_surname
WMPID1299,"BOOZMAN, SEN. JOHN",John Boozman,AR,REP,John Boozman,"John Boozman (R)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/johnboozmanupdated.jpg,John Boozman,johnboozmanupdated.jpg,both,,,,,,,,,
WMPID1302,"KELLY, MARK",Mark Kelly,AZ,DEM,Mark Kelly,"Mark Kelly (D)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Mark-Kelly.png,Mark Kelly,Mark-Kelly.png,both,,,,,,,,,
WMPID1305,"BENNET, MICHAEL F.",Michael Bennet,CO,DEM,Michael Bennet,"Michael Bennet (D)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Michael_Bennet.jpg,Michael Bennet,Michael_Bennet.jpg,both,,,,,,,,,
WMPID1315,"BLUMENTHAL, RICHARD",Richard Blumenthal,CT,DEM,Richard Blumenthal,"Richard Blumenthal (D / Working Families Party)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Richard_Blumenthal.jpg,Richard Blumenthal,Richard_Blumenthal.jpg,both,,,,,,,,,
WMPID1321,"RUBIO, MARCO",Marco Rubio,FL,REP,Marco Rubio,"Marco Rubio (R)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Marco_Rubio.jpg,Marco Rubio,Marco_Rubio.jpg,both,,,,,,,,,
WMPID174,"KNEPPER, HOWARD",Howard Knepper,FL,W,,,,,,left_only,,,,,,,,,
WMPID1330,"WARNOCK, RAPHAEL",Raphael Warnock,GA,DEM,Raphael Warnock,"Raphael Warnock (D)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Raphael_Warnock.jpg,Raphael Warnock,Raphael_Warnock.jpg,both,,,,,,,,,
WMPID1342,"GRASSLEY, CHARLES E",Chuck Grassley,IA,REP,Chuck Grassley,"Chuck Grassley (R)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Chuck_Grassley.jpg,Chuck Grassley,Chuck_Grassley.jpg,both,,,,,,,,,
WMPID1352,"MORAN, JERRY",Jerry Moran,KS,REP,Jerry Moran,"Jerry Moran (R)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Jerry_Moran.jpg,Jerry Moran,Jerry_Moran.jpg,both,,,,,,,,,
WMPID1357,"PAUL, RAND",Rand Paul,KY,REP,Rand Paul,"Rand Paul (R)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Rand_Paul.jpg,Rand Paul,Rand_Paul.jpg,both,,,,,,,,,
WMPID2244,"BOOKER, CHARLES",Charles Booker,KY,DEM,Charles Booker,"Charles Booker (D) 
",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Charles_Booker1.jpeg,Charles Booker,Charles_Booker1.jpeg,both,,,,,,,,,
WMPID1370,"JOHN, XAN MR.",Xan John,LA,OTH,,,,,,left_only,,,,,,,,,
WMPID4757,"DINE, JONATHAN",Jonathan Dine,MO,LIB,Jonathan Dine,"Jonathan Dine (L)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Jonathan-Dine.PNG,Jonathan Dine,Jonathan-Dine.PNG,both,,,,,,,,,
WMPID1396,"BRAY, SHANNON",Shannon Bray,NC,LIB,Shannon Bray,"Shannon Bray (L) 
",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/ShannonBray.jpg,Shannon Bray,ShannonBray.jpg,both,,,,,,,,,
