,wmpid,face_url,face_2022,face_category
0,WMPID5267,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Ashley_KalusRI.png,yes,gov_general
1,WMPID5285,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Bernard-Peters.PNG,yes,gov_general
2,WMPID5331,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Beto_O_Rourke-7_fixed.jpg,yes,gov_general
3,WMPID5338,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Betsy-Johnson.PNG,yes,gov_general
4,WMPID5280,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/5947f4a8d785b.image.jpg,yes,gov_general
5,WMPID5279,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/BillWalker2015.jpg,yes,gov_general
6,WMPID5288,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Bob-Stefanowski.PNG,yes,gov_general
7,WMPID5290,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/nLmyuaDA_400x400.jpg,yes,gov_general
8,WMPID5334,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/brenda-siegel.png,yes,gov_general
9,WMPID5308,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Brian-Dahle.PNG,yes,gov_general
10,WMPID5292,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/BrianKemp.jpg,yes,gov_general
11,WMPID5294,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Carol_Blood_portrait.jpg,yes,gov_general
12,WMPID970,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Charlie_Crist_115th_Congress_photo.jpg,yes,gov_general
13,WMPID5316,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Charles-Pierce.PNG,yes,gov_general
14,WMPID5307,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Chris-Jones.jpg,yes,gov_general
15,WMPID5326,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Chris_Sununu.jpg,yes,gov_general
16,WMPID5270,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Christine_Drazan.jpg,yes,gov_general
17,WMPID5283,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/DanCox2022.JPG,yes,gov_general
18,WMPID5300,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/danielmckee.jpg,yes,gov_general
19,WMPID5301,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Darren-Bailey.jpg,yes,gov_general
20,WMPID5276,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Deidre-DeJear.PNG,yes,gov_general
21,WMPID5322,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Derek_Schmidt.jpg,yes,gov_general
22,WMPID5343,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/doug_mastriano.jpg,yes,gov_general
23,WMPID5329,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Duke_Aiona.jpg,yes,gov_general
24,WMPID5274,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/ErvinYen2022.jpg,yes,gov_general
25,WMPID5303,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/399px-Gavin_Newsom_official_photo.jpg,yes,gov_general
26,WMPID5340,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Geoff-Diehl.PNG,yes,gov_general
27,WMPID5335,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/GregAbbott2015.jpg,yes,gov_general
28,WMPID5328,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Gretchen-Whitmer.jpg,yes,gov_general
29,WMPID5266,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Ganahl.jpeg,yes,gov_general
30,WMPID5310,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Mcmaster.jpg,yes,gov_general
31,WMPID5313,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/JB_Pritzker.jpg,yes,gov_general
32,WMPID5318,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Jamie-Smith.PNG,yes,gov_general
33,WMPID5306,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Janet_Mills.jpg,yes,gov_general
34,WMPID5339,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Jared_Polis.jpg,yes,gov_general
35,WMPID5269,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Jason_Martin2022.jpg,yes,gov_general
36,WMPID5286,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/JimPillen2.png,yes,gov_general
37,WMPID1226,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Joe_Cunningham-1.jpg,yes,gov_general
38,WMPID5289,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/JoeLombardo.jpg,yes,gov_general
39,WMPID5337,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Josh-Shapiro.PNG,yes,gov_general
40,WMPID5321,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Joshua-Green.PNG,yes,gov_general
41,WMPID5299,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Joy_Hofmeister-1.jpg,yes,gov_general
42,WMPID5323,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/KariLake.jpg,yes,gov_general
43,WMPID5332,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/ad05paDl_400x400.jpg,yes,gov_general
44,WMPID5281,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Katie-Hobbs.PNG,yes,gov_general
45,WMPID5287,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Kay_Ivey_2013.jpg,yes,gov_general
46,WMPID5284,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/KevinHoyt.jpg,yes,gov_general
47,WMPID5291,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Kevin.Stitt.jpg,yes,gov_general
48,WMPID5314,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Kim_Reynolds_2013.jpg,yes,gov_general
49,WMPID5271,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Kristi_Noem.PNG,yes,gov_general
50,WMPID5320,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Laura_Kelly.jpg,yes,gov_general
51,WMPID1188,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Lee_Zeldin_new_official_portrait.jpg,yes,gov_general
52,WMPID5302,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Les_Gara.JPG,yes,gov_general
53,WMPID5309,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Mark-Gordon.jpg,yes,gov_general
54,WMPID1413,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/RonchettiHeadshot.jpg,yes,gov_general
55,WMPID5312,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Maura-Healey.PNG,yes,gov_general
56,WMPID5330,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/188px-MichelleLujanGrisham.jpg,yes,gov_general
57,WMPID5327,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/MikeDunleavy.jpg,yes,gov_general
58,WMPID5272,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Nan-Whaley.jpg,yes,gov_general
59,WMPID5268,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/nbruno.PNG,yes,gov_general
60,WMPID5341,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/nedlamont.jpg,yes,gov_general
61,WMPID5298,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Paul-LePage.PNG,yes,gov_general
62,WMPID5333,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Peter_Duval.jpeg,yes,gov_general
63,WMPID5325,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Phil_Scott.jpg,yes,gov_general
64,WMPID5317,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/MikeDeWine2015.jpg,yes,gov_general
65,WMPID5305,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Ron_DeSantis__Official_Portrait__113th_Congress-7_fixed.jpg,yes,gov_general
66,WMPID5278,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/IMG_0500.jpg,yes,gov_general
67,WMPID5275,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Sarah-Huckabee-Sanders.jpg,yes,gov_general
68,WMPID5297,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Scott_Jensen_portrait.jpg,yes,gov_general
69,WMPID1332,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/shanehazel2.png,yes,gov_general
70,WMPID5311,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Stacey_Abrams.jpg,yes,gov_general
71,WMPID5273,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Stephen-Heidt.PNG,yes,gov_general
72,WMPID5324,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/WEB_GovElectSisolak.jpg,yes,gov_general
73,WMPID5315,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Theresa_Livingston.jpeg,yes,gov_general
