wmpid,face_url,face_2022,face_category
WMPID5345,https://www.nga.org/wp-content/uploads/2018/03/Governor-Carney-768x768.jpg,yes,incumbent_governor
WMPID5346,https://www.nga.org/wp-content/uploads/2018/03/Holcomb-LG-Headshot.jpeg,yes,incumbent_governor
WMPID5347,https://www.nga.org/wp-content/uploads/2019/12/Governor-Andy-Beshear-homepage-2.jpg,yes,incumbent_governor
WMPID5348,https://www.nga.org/wp-content/uploads/2018/06/John-Bel-Edwards.jpg,yes,incumbent_governor
WMPID5349,https://www.nga.org/wp-content/uploads/2019/09/GovernorParson_square.png,yes,incumbent_governor
WMPID5350,https://www.nga.org/wp-content/uploads/2020/01/Tate-Reeves-scaled.jpg,yes,incumbent_governor
WMPID5351,https://www.nga.org/wp-content/uploads/2020/11/Montana-Greg-Gianforte-January-2021.jpg,yes,incumbent_governor
WMPID5352,https://www.nga.org/wp-content/uploads/2019/02/North-Carolina-Roy-Cooper-January-2019.jpg,yes,incumbent_governor
WMPID5353,https://www.nga.org/wp-content/uploads/2018/06/G0v_Burgum-NorthDakota.jpg,yes,incumbent_governor
WMPID5354,https://www.nga.org/wp-content/uploads/2018/06/NJ-Phil-Murphy.jpg,yes,incumbent_governor
WMPID5355,https://www.nga.org/wp-content/uploads/2021/01/Governor_Cox_official_square-scaled.jpg,yes,incumbent_governor
WMPID5356,https://www.nga.org/wp-content/uploads/2022/01/Governor-Glenn-Youngkin-Official-photo2022.jpg,yes,incumbent_governor
WMPID5357,https://www.nga.org/wp-content/uploads/2019/09/Gov_Inslee_1_8_20_HighContrast_square.jpg,yes,incumbent_governor
WMPID5358,https://www.nga.org/wp-content/uploads/2019/02/West-Virginia-Jim-Justice-February-2019.jpg,yes,incumbent_governor
