,wmpid,face_url,face_2022,face_category
0,WMPID1299,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/johnboozmanupdated.jpg,yes,senate_general
1,WMPID1302,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Mark-Kelly.png,yes,senate_general
2,WMPID1305,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Michael_Bennet.jpg,yes,senate_general
3,WMPID1315,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Richard_Blumenthal.jpg,yes,senate_general
4,WMPID1321,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Marco_Rubio.jpg,yes,senate_general
5,WMPID174,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Howard_Knepper.jpg,yes,senate_general
6,WMPID1330,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Raphael_Warnock.jpg,yes,senate_general
7,WMPID1342,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Chuck_Grassley.jpg,yes,senate_general
8,WMPID1352,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Jerry_Moran.jpg,yes,senate_general
9,WMPID1357,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Rand_Paul.jpg,yes,senate_general
10,WMPID2244,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Charles_Booker1.jpeg,yes,senate_general
11,WMPID1370,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/XanJohn2.jpg,yes,senate_general
12,WMPID4757,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Jonathan-Dine.PNG,yes,senate_general
13,WMPID1396,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/ShannonBray.jpg,yes,senate_general
14,WMPID1399,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/John_Hoeven.jpg,yes,senate_general
15,WMPID1405,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/DonBolduc.jpg,yes,senate_general
16,WMPID1445,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Mike_Lee_113th_Congress.jpg,yes,senate_general
17,WMPID1450,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Ron_Johnson.jpg,yes,senate_general
18,WMPID4671,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Kelly_Tshibaka.jpg,yes,senate_general
19,WMPID4828,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Patricia-Chesbro.PNG,yes,senate_general
20,WMPID4999,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Buzz-Kelley.PNG,yes,senate_general
21,WMPID3864,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/brittkatie.jpg,yes,senate_general
22,WMPID2592,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Jarmal_Jabbar_Sanders.jpeg,yes,senate_general
23,WMPID1966,https://cdn.ballotpedia.org/images/f/fb/Silhouette_Placeholder_Image.png,yes,senate_general
24,WMPID3679,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/WillBoyd2.jpg,yes,senate_general
25,WMPID5101,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/John_SophocleusAL.png,yes,senate_general
26,WMPID1969,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Natalie-James.PNG,yes,senate_general
27,WMPID1592,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Kenneth_Cates.jpg,yes,senate_general
28,WMPID1684,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Stuart-Shirrell.PNG,yes,senate_general
29,WMPID4444,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Richard-Gant.jpeg,yes,senate_general
30,WMPID4666,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/James-Garner.jpeg,yes,senate_general
31,WMPID3625,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/MarcVictor.jpg,yes,senate_general
32,WMPID3907,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/bmasters.jpg,yes,senate_general
33,WMPID1456,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Alex-Padilla.jpg,yes,senate_general
34,WMPID3569,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Mark-Meuser.PNG,yes,senate_general
35,WMPID1859,https://cdn.ballotpedia.org/images/f/fb/Silhouette_Placeholder_Image.png,yes,senate_general
36,WMPID3196,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Joe-ODea.PNG,yes,senate_general
37,WMPID1773,https://cdn.ballotpedia.org/images/f/fb/Silhouette_Placeholder_Image.png,yes,senate_general
38,WMPID3422,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Frank_Atwood.jpg,yes,senate_general
39,WMPID4019,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Leora-Levy.PNG,yes,senate_general
40,WMPID4773,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/KristiTalmadge.jpg,yes,senate_general
41,WMPID3659,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Steven_B_Grant.jpg,yes,senate_general
42,WMPID176,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Dennis_Misigoy.jpg,yes,senate_general
43,WMPID787,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Val-Demings.PNG,yes,senate_general
44,WMPID2873,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/TuanNguyen.jpg,yes,senate_general
45,WMPID3076,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/UlomaEkpete.png,yes,senate_general
46,WMPID1644,,yes,senate_general
47,WMPID2249,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Moses_Quiles.jpg,yes,senate_general
48,WMPID4511,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Herschel_Walker.png,yes,senate_general
49,WMPID3554,,yes,senate_general
50,WMPID4086,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/ChaseOliver.jpg,yes,senate_general
51,WMPID2612,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Bob-McDermott.jpg,yes,senate_general
52,WMPID3712,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/FeenaBonoan4.jpg,yes,senate_general
53,WMPID4797,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Emma_Pohlman.jpeg,yes,senate_general
54,WMPID4847,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Dan_Decker.png,yes,senate_general
55,WMPID2549,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/FrankenMikeHeadshot.jpg,yes,senate_general
56,WMPID2511,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Scott_Cleveland.jpg,yes,senate_general
57,WMPID2576,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/DavidRoth.jpg,yes,senate_general
58,WMPID3320,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Oct72020530AM_80182230_IdahoLawPicDLCongressforIL.png,yes,senate_general
59,WMPID3751,,yes,senate_general
60,WMPID4183,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Bill_Redpath1.jpeg,yes,senate_general
61,WMPID2659,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/KathySalvi.jpg,yes,senate_general
62,WMPID2419,,yes,senate_general
63,WMPID4510,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Haneefah-Khaaliq.jpg,yes,senate_general
