wmpid,face_url,face_category
WMPID1456,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Alex_Padilla_117th_Congress_portrait.jpg/220px-Alex_Padilla_117th_Congress_portrait.jpg,SitSen
WMPID1512,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Amy_Klobuchar%2C_official_portrait%2C_113th_Congress.jpg/220px-Amy_Klobuchar%2C_official_portrait%2C_113th_Congress.jpg,SitSen
WMPID1461,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Angus_King%2C_official_portrait%2C_113th_Congress.jpg/220px-Angus_King%2C_official_portrait%2C_113th_Congress.jpg,SitSen
WMPID1412,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Ben_Ray_Lujan%2C_117th_Congress_portrait_2.jpg/220px-Ben_Ray_Lujan%2C_117th_Congress_portrait_2.jpg,SitSen
WMPID1487,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Ben_Sasse_official_portrait_%28cropped2%29.jpg/220px-Ben_Sasse_official_portrait_%28cropped2%29.jpg,SitSen
WMPID1509,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Ben_Cardin_official_Senate_portrait.jpg/220px-Ben_Cardin_official_Senate_portrait.jpg,SitSen
WMPID1499,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Bernie_Sanders_in_March_2020.jpg/220px-Bernie_Sanders_in_March_2020.jpg,SitSen
WMPID1482,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Bill_Cassidy_official_Senate_photo.jpg/220px-Bill_Cassidy_official_Senate_photo.jpg,SitSen
WMPID1428,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Sen._Bill_Hagerty_official_Senate_portrait%2C_117th_Congress.jpg/220px-Sen._Bill_Hagerty_official_Senate_portrait%2C_117th_Congress.jpg,SitSen
WMPID1478,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Brian_Schatz%2C_official_portrait%2C_113th_Congress_2.jpg/220px-Brian_Schatz%2C_official_portrait%2C_113th_Congress_2.jpg,SitSen
WMPID1516,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Catherine_Cortez_Masto_portrait_red.jpg/220px-Catherine_Cortez_Masto_portrait_red.jpg,SitSen
WMPID1547,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Chuck_Schumer_official_photo.jpg/220px-Chuck_Schumer_official_photo.jpg,SitSen
WMPID1316,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Chris_Coons%2C_official_portrait%2C_112th_Congress.jpg/220px-Chris_Coons%2C_official_portrait%2C_112th_Congress.jpg,SitSen
WMPID1510,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Chris_Van_Hollen_official_portrait_115th_Congress.jpg/220px-Chris_Van_Hollen_official_portrait_115th_Congress.jpg,SitSen
WMPID1457,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Chris_Murphy%2C_official_portrait%2C_113th_Congress_%28cropped%29.jpg/220px-Chris_Murphy%2C_official_portrait%2C_113th_Congress_%28cropped%29.jpg,SitSen
WMPID1342,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Chuck_Grassley_official_photo_2017.jpg/220px-Chuck_Grassley_official_photo_2017.jpg,SitSen
WMPID1542,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Official_headshot_of_US_Senator_Cindy_Hyde-Smith.jpg/220px-Official_headshot_of_US_Senator_Cindy_Hyde-Smith.jpg,SitSen
WMPID1490,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Cory_Booker%2C_official_portrait%2C_114th_Congress.jpg/220px-Cory_Booker%2C_official_portrait%2C_114th_Congress.jpg,SitSen
WMPID1454,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Cynthia_Lummis_U.S._Senator.jpg/220px-Cynthia_Lummis_U.S._Senator.jpg,SitSen
WMPID1472,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Dan_Sullivan_in_2021.jpg/220px-Dan_Sullivan_in_2021.jpg,SitSen
WMPID1463,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Deb_Fischer%2C_official_portrait%2C_115th_Congress.jpg/220px-Deb_Fischer%2C_official_portrait%2C_115th_Congress.jpg,SitSen
WMPID1536,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Debbie_Stabenow%2C_official_photo%2C_116th_Congress.jpg/220px-Debbie_Stabenow%2C_official_photo%2C_116th_Congress.jpg,SitSen
WMPID1304,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Dianne_Feinstein%2C_official_Senate_photo_2.jpg/220px-Dianne_Feinstein%2C_official_Senate_photo_2.jpg,SitSen
WMPID1503,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Dick_Durbin_117th_Congress_portrait_%281%29_%28cropped%29.jpeg/220px-Dick_Durbin_117th_Congress_portrait_%281%29_%28cropped%29.jpeg,SitSen
WMPID1483,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Edward_Markey%2C_official_portrait%2C_114th_Congress.jpg/220px-Edward_Markey%2C_official_portrait%2C_114th_Congress.jpg,SitSen
WMPID1460,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Elizabeth_Warren%2C_official_portrait%2C_114th_Congress.jpg/220px-Elizabeth_Warren%2C_official_portrait%2C_114th_Congress.jpg,SitSen
WMPID1484,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Gary_Peters_official_photo_115th_congress.jpg/220px-Gary_Peters_official_photo_115th_congress.jpg,SitSen
WMPID1521,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Senator_Jack_Reed_official_photo.jpg/220px-Senator_Jack_Reed_official_photo.jpg,SitSen
WMPID1546,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Jacky_Rosen%2C_official_portrait%2C_116th_congress.jpg/220px-Jacky_Rosen%2C_official_portrait%2C_116th_congress.jpg,SitSen
WMPID1532,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Jim_Risch_official_portrait.jpg/220px-Jim_Risch_official_portrait.jpg,SitSen
WMPID1492,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/James_Lankford_official_Senate_photo.jpg/220px-James_Lankford_official_Senate_photo.jpg,SitSen
WMPID1491,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Jim_Inhofe_official_portrait.jpg/220px-Jim_Inhofe_official_portrait.jpg,SitSen
