wmpid,face_url,face_category
WMPID5195,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Mensaje_de_fin_de_a%C3%B1o_del_Presidente_Alberto_Fern%C3%A1ndez_%28cropped%29.jpg/220px-Mensaje_de_fin_de_a%C3%B1o_del_Presidente_Alberto_Fern%C3%A1ndez_%28cropped%29.jpg,IntLeader
WMPID5217,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Anthony_Albanese_portrait_%28cropped%29.jpg/220px-Anthony_Albanese_portrait_%28cropped%29.jpg,IntLeader
WMPID5182,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Foto_oficial_de_Luiz_In%C3%A1cio_Lula_da_Silva_%28estreita%29.jpg/220px-Foto_oficial_de_Luiz_In%C3%A1cio_Lula_da_Silva_%28estreita%29.jpg,IntLeader
WMPID5261,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Justin_Trudeau_March_2022.jpg/220px-Justin_Trudeau_March_2022.jpg,IntLeader
WMPID5255,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Xi_Jinping_2019.jpg/220px-Xi_Jinping_2019.jpg,IntLeader
WMPID5260,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Emmanuel_Macron_June_2022_%28cropped%29.jpg/220px-Emmanuel_Macron_June_2022_%28cropped%29.jpg,IntLeader
WMPID5173,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Olaf_Scholz%2C_15-12-2022_%281%29_%28cropped%29.jpg/220px-Olaf_Scholz%2C_15-12-2022_%281%29_%28cropped%29.jpg,IntLeader
WMPID5258,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Official_Photograph_of_Prime_Minister_Narendra_Modi_Potrait.png/220px-Official_Photograph_of_Prime_Minister_Narendra_Modi_Potrait.png,IntLeader
WMPID5249,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Joko_Widodo_2019_official_portrait.jpg/220px-Joko_Widodo_2019_official_portrait.jpg,IntLeader
WMPID5188,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Giorgia_Meloni_Official_2022_%28cropped%29.jpg/220px-Giorgia_Meloni_Official_2022_%28cropped%29.jpg,IntLeader
WMPID5169,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Fumio_Kishida_20211005.jpg/220px-Fumio_Kishida_20211005.jpg,IntLeader
WMPID5177,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/LEN%C3%8DN_MORENO_SE_RE%C3%9ANE_CON_EL_L%C3%8DDER_MEXICANO_L%C3%93PEZ_OBRADOR_%2836186836092%29_%28cropped%29.jpg/220px-LEN%C3%8DN_MORENO_SE_RE%C3%9ANE_CON_EL_L%C3%8DDER_MEXICANO_L%C3%93PEZ_OBRADOR_%2836186836092%29_%28cropped%29.jpg,IntLeader
WMPID5190,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/South_Korea_President_Yoon_Suk_Yeol_portrait.jpg/220px-South_Korea_President_Yoon_Suk_Yeol_portrait.jpg,IntLeader
WMPID5183,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Vladimir_Putin_17-11-2021_%28cropped%29.jpg/220px-Vladimir_Putin_17-11-2021_%28cropped%29.jpg,IntLeader
WMPID5187,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Salman_of_Saudi_Arabia_-_2020_%2849563590728%29_%28cropped%29.jpg/220px-Salman_of_Saudi_Arabia_-_2020_%2849563590728%29_%28cropped%29.jpg,IntLeader
WMPID5170,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Prime_Minister_Sunak_met_with_President_Ramaphosa_of_South_Africa_in_Number_10_-_2022_%28cropped%29.jpg/220px-Prime_Minister_Sunak_met_with_President_Ramaphosa_of_South_Africa_in_Number_10_-_2022_%28cropped%29.jpg,IntLeader
WMPID5246,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Recep_Tayyip_Erdogan_in_Ukraine.jpg/220px-Recep_Tayyip_Erdogan_in_Ukraine.jpg,IntLeader
WMPID5205,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Rishi_Sunak%27s_first_speech_as_Prime_Minister_%28crop%29.jpg/220px-Rishi_Sunak%27s_first_speech_as_Prime_Minister_%28crop%29.jpg,IntLeader
WMPID1289,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Joe_Biden_presidential_portrait.jpg/220px-Joe_Biden_presidential_portrait.jpg,IntLeader
WMPID5218,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Charles_Michel_%2849467991288%29.jpg/220px-Charles_Michel_%2849467991288%29.jpg,IntLeader
WMPID5211,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Official_Portrait_of_Ursula_von_der_Leyen.jpg/220px-Official_Portrait_of_Ursula_von_der_Leyen.jpg,IntLeader
WMPID5248,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Ant%C3%B3nio_Guterres_2021.jpg/220px-Ant%C3%B3nio_Guterres_2021.jpg,IntLeader
WMPID5206,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Gilbert_Stuart_Williamstown_Portrait_of_George_Washington.jpg/320px-Gilbert_Stuart_Williamstown_Portrait_of_George_Washington.jpg,FormerPres
WMPID5241,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/John_Adams_A18236.jpg/320px-John_Adams_A18236.jpg,FormerPres
WMPID5194,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Thomas_Jefferson_by_Rembrandt_Peale%2C_1800.jpg/320px-Thomas_Jefferson_by_Rembrandt_Peale%2C_1800.jpg,FormerPres
WMPID5172,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/James_Madison.jpg/320px-James_Madison.jpg,FormerPres
