wmpid,full_name,name_fec,first_name,last_name,gender_wmp,fecid_2020,fecid_2022a,fecid_2022b,fecid_2022old,fecid_changed,crp_candidate_id,dateadded_person,notes_person,wmp_notes,supcourt_2022,supcourt_former,currsen_2022,prompol,former_uspres,intl_leaders,gov2022_gencd,face_category,latino_wmp,latino_crp,race_wmp,race_crp1,race_crp2,race_crpmena
WMPID4735,A.J. Calkins,"CALKINS, AARON (A.J.)",A.J.,Calkins,M,,H2IN03236,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,,NULL,White,W,NULL,NULL
WMPID1731,Aamir Sultan,"SULTAN, AAMIR",Aamir,Sultan,UNK,,H2NY10191,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,,,NULL,,,
WMPID4403,Aarika Samone Rhodes,"RHODES, AARIKA SAMONE",Aarika Samone,Rhodes,F,,H2CA30275,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,0,N,Black,B,NULL,N
WMPID328,Aaron Amede,"AMEDE, AARON",Aaron,Amede,UNK,H0ME01127,H0ME01127,,,0,N00047141,11/3/2020,,,0,0,0,0,0,0,0,,,,NULL,,,
WMPID1812,Aaron Bean,"BEAN, AARON P.",Aaron,Bean,M,,H2FL04211,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,0,N,White,W,NULL,N
WMPID1859,Aaron David Trevi?O,"TREVI?O, AARON DAVID",Aaron David,Trevi?O,M,,S2CO00217,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,,NULL,NULL,NULL,NULL,NULL
WMPID2526,Aaron Frank,"FRANK, AARON",Aaron,Frank,M,,S2WI00318,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,,NULL,NULL,NULL,NULL,NULL
WMPID1209,Aaron Godfrey,"GODFREY, AARON PAUL",Aaron,Godfrey,M,H8OH16090,H8OH16090,,,0,N00040945,11/3/2020,,,0,0,0,0,0,0,0,,0,N,White,W,NULL,N
WMPID3243,Aaron Hamstead,"HAMSTEAD, AARON MR",Aaron,Hamstead,UNK,,H2FL18104,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,,,NULL,,,
WMPID3479,Aaron Hansen,"HANSEN, AARON",Aaron,Hansen,M,,H2WA06160,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,,NULL,NULL,NULL,NULL,NULL
WMPID3250,Aaron Heineman,"HEINEMAN, AARON",Aaron,Heineman,M,,H8UT03329,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,0,N,White,W,NULL,N
WMPID717,Aaron James Luciani,"LUCIANI, AARON JAMES",Aaron James,Luciani,M,H0VA06051,,,,0,N00047267,11/3/2020,,,0,0,0,0,0,0,0,,,,,,,
WMPID4314,Aaron Jay,"JAY, AARON MR",Aaron,Jay,UNK,,H2DE18017,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,,,NULL,,,
WMPID2366,Aaron Michael Sims,"SIMS, AARON MICHAEL",Aaron Michael,Sims,M,,H2NV02494,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,,NULL,White,W,NULL,NULL
WMPID2749,Aaron Payton Lee,"LEE, AARON PAYTON",Aaron Payton,Lee,M,,H2MS04316,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,,NULL,White,W,NULL,NULL
WMPID1372,Aaron Sigler,"SIGLER, AARON",Aaron,Sigler,UNK,S0LA00394,S0LA00394,,,0,N00047384,11/3/2020,,,0,0,0,0,0,0,0,,,,NULL,,,
WMPID2564,Aaron Smith,"SMITH, AARON",Aaron,Smith,M,,H2CA02183,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,,NULL,NULL,NULL,NULL,NULL
WMPID4197,Aaron Storer,"STORER, AARON",Aaron,Storer,M,,H2IN01222,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,,NULL,White,W,NULL,NULL
WMPID1107,Aaron Swisher,"SWISHER, AARON",Aaron,Swisher,M,H8ID02148,,,,0,N00042112,11/3/2020,,,0,0,0,0,0,0,0,,,,,,,
WMPID2114,Aaron Trevino,"TREVINO, AARON MR.",Aaron,Trevino,UNK,,H2CO05257,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,,,NULL,,,
WMPID1417,Abby Broyles,"BROYLES, ABBY",Abby,Broyles,F,S0OK00370,H2OK05151,,,0,N00045883,11/3/2020,,,0,0,0,0,0,0,0,,0,N,White,W,NULL,N
WMPID1102,Abby Finkenauer,"FINKENAUER, ABBY",Abby,Finkenauer,F,H8IA01094,S2IA00164,,,0,N00040888,11/3/2020,,,0,0,0,0,0,0,0,,0,n,White,W,NULL,n
WMPID3857,Abel Mulugheta,"MULUGHETA, ABEL",Abel,Mulugheta,M,,H2TX30145,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,,NULL,Black,B,NULL,NULL
WMPID3019,Abhiram Garapati,"GARAPATI, ABHIRAM",Abhiram,Garapati,M,,H0TX31030,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,,NULL,NULL,NULL,NULL,NULL
WMPID3444,Abigail Fordham,"FORDHAM, ABIGAIL MRS",Abigail,Fordham,UNK,,H2CO18011,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,,,NULL,,,
WMPID1269,Abigail Spanberger,"SPANBERGER, ABIGAIL",Abigail,Spanberger,F,H8VA07094,H8VA07094,,,0,N00041418,11/3/2020,,,0,0,0,0,0,0,0,,0,n,White,W,NULL,n
WMPID5239,Abraham Lincoln,"LINCOLN, ABRAHAM",Abraham,Lincoln,M,,,,,,,12/19/2022,,,,,,,1,0,0,former presidents,,,White,,,
WMPID589,Ada Norah Henriquez,"HENRIQUEZ, ADA NORAH",Ada Norah,Henriquez,F,H0PR01059,,,,0,N00047488,11/3/2020,,,0,0,0,0,0,0,0,,,,,,,
WMPID596,Adair Boroughs,"BOROUGHS, ADAIR",Adair,Boroughs,F,H0SC02061,,,,0,N00044359,11/3/2020,,,0,0,0,0,0,0,0,,,,,,,
WMPID2147,Adam Benedetto,"BENEDETTO, ADAM SIIK",Adam,Benedetto,M,,S2WI00508,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,,NULL,NULL,NULL,NULL,NULL
WMPID125,Adam Christensen,"CHRISTENSEN, ADAM",Adam,Christensen,M,H0FL03183,,,,0,N00046170,11/3/2020,,,0,0,0,0,0,0,0,,,,,,,
WMPID3985,Adam Christopher Murphy,"MURPHY, ADAM CHRISTOPHER",Adam Christopher,Murphy,M,,S2WI00409,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,0,N,White,W,NULL,N
WMPID2690,Adam Frisch,"FRISCH, ADAM",Adam,Frisch,M,,H2CO03351,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,0,N,White,W,NULL,N
WMPID3881,Adam Gentle,"GENTLE, ADAM",Adam,Gentle,M,,H2FL25067,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,0,N,White,W,NULL,N
WMPID3685,Adam Gizinski,"GIZINSKI, ADAM",Adam,Gizinski,M,,H2VA05117,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,,NULL,NULL,NULL,NULL,NULL
WMPID1770,Adam Gray,"GRAY, ADAM C.",Adam,Gray,M,,H2CA13115,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,,NULL,White,W,NULL,NULL
WMPID2194,Adam Hancock,"HANCOCK, ADAM M",Adam,Hancock,UNK,,H2CA45190,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,,,NULL,,,
WMPID3513,Adam Holley,"HOLLEY, ADAM",Adam,Holley,M,,S2OK00244,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,,NULL,White,W,NULL,NULL
WMPID2453,Adam Hollier,"HOLLIER, ADAM",Adam,Hollier,M,,H2MI13246,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,,NULL,Black,B,NULL,NULL
