wmpid,full_name,face_url_2022,face_category_2022
WMPID1,Mike Pence,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Mike_Pence_official_Vice_Presidential_portrait.jpg/220px-Mike_Pence_official_Vice_Presidential_portrait.jpg,PromPoli
WMPID10,John Roberts,https://www.supremecourt.gov/about/justice_pictures/Roberts_8807-16_Crop.jpg,SupremeCourt
WMPID1000,Josh Gottheimer,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Josh_Gottheimer.jpg,House
WMPID1001,Bill Pascrell Jr.,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Bill_Pascrell.jpg,House
WMPID1003,Susie Lee,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/SUSIE_LEE.jpg,House
WMPID1006,Jim Jordan,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/JimjordanReplace.jpg,House
WMPID1007,Warren Davidson,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Warren_Davidson.jpg,House
WMPID1008,Evelyn Rogers,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Adam_Martin.jpeg,House
WMPID1009,Earl Blumenauer,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Earl_Blumenauer.jpeg,House
WMPID1011,Dwight Evans,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/DWIGHT_EVANS.jpg,House
WMPID1012,Brian Fitzpatrick,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Brian_Fitzpatrick_official_congressional_photo.jpg,House
WMPID1013,Lloyd Smucker,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Lloyd_Smucker_official_congressional_photo.jpg,House
WMPID1018,Steve Cohen,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Steve_Cohen.jpeg,House
WMPID1020,Brian Babin,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Brian_Babin_official_congressional_photo.jpg,House
WMPID1022,Kay Granger,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Kay_Granger.jpg,House
WMPID1023,Vicente Gonzalez,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Vicente_Gonzalez_115th_congress_photo.jpg,House
WMPID1024,Jodey Arrington,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Jodey_Arrington_115th_congress_photo.jpg,House
WMPID1027,Bobby Scott,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Bobby_Scott.jpg,House
WMPID1028,Donald McEachin,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Donald_McEachin_115th_congress_photo.jpg,House
WMPID1029,Peter Welch,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Peter-Welch.jpg,Sen
WMPID1031,Pramila Jayapal,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Pramila_Jayapal_115th_Congress_photo.jpg,House
WMPID1032,Adam Smith,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Adam_Smith.jpg,House
WMPID1035,Mike Gallagher,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Mike_Gallagher.png,House
WMPID1038,Barry Moore,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Barry-Moore.jpg,House
WMPID1040,Rick Neighbors,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/RickNeighbors2020crop.jpg,House
WMPID1041,Mike Kalagias,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Michael_Kalagias1.jpg,House
WMPID1047,Debbie Lesko,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/460px-Debbie_Lesko.jpg,House
WMPID1048,Greg Stanton,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Greg-Stanton.PNG,House
WMPID1049,Mike Thompson,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Mike-Thompson.PNG,House
WMPID1051,Tom McClintock,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Tom_McClintock.JPG,House
WMPID1052,Nancy Pelosi,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Nancy-Pelosi.PNG,House
WMPID1053,Barbara Lee,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Barbara_Lee.PNG,House
WMPID1054,Josh Harder,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/JOSH_HARDER.jpg,House
WMPID1057,Anna Eshoo,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Anna-Eshoo.PNG,House
WMPID1062,Angelica Duenas,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/aduenas2.jpg,House
WMPID1064,Grace Napolitano,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Grace-Napolitano.PNG,House
WMPID1065,Jimmy Gomez,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/jgomez3.jpg,House
WMPID1067,Young Kim,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Young-Kim.PNG,House
WMPID1069,Katie Porter,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/KATIE_PORTER.jpg,House
WMPID1070,John Briscoe,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/John-Briscoe.PNG,House
WMPID1072,Mike Levin,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/MikeLevin.png,House
WMPID1073,Brian Maryott,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Brian_Maryott.png,House
