vs_name,url,vs_state,vs_office,district_no
Patricia Chesbro,https://static.votesmart.org/static/canphoto/68296.jpg,Alaska ,U.S. Senate ,
Ted Gianoutsos,https://static.votesmart.org/static/canphoto/27156.jpg,Alaska ,U.S. Senate ,
Shoshana Gungerstein,https://static.votesmart.org/static/canphoto/207789.jpg,Alaska ,U.S. Senate ,
Sid Hill,https://static.votesmart.org/static/canphoto/145962.jpg,Alaska ,U.S. Senate ,
Buzz Kelley,https://static.votesmart.org/static/canphoto/207793.jpg,Alaska ,U.S. Senate ,
Lisa Murkowski,https://static.votesmart.org/static/canphoto/15841.jpg,Alaska ,U.S. Senate ,
Joe Stephens,https://static.votesmart.org/static/canphoto/207804.jpg,Alaska ,U.S. Senate ,
Kelly Tshibaka,https://static.votesmart.org/static/canphoto/207809.jpg,Alaska ,U.S. Senate ,
Nick Begich III,https://static.votesmart.org/static/canphoto/207684.jpg,Alaska ,U.S. House ,At-Large 
Chris Bye,https://static.votesmart.org/static/canphoto/207603.jpg,Alaska ,U.S. House ,At-Large 
Lady Dutchess,https://static.votesmart.org/static/canphoto/207606.jpg,Alaska ,U.S. House ,At-Large 
Al Gross,https://static.votesmart.org/static/canphoto/192362.jpg,Alaska ,U.S. House ,At-Large 
Robert Ornelas,https://static.votesmart.org/static/canphoto/143202.jpg,Alaska ,U.S. House ,At-Large 
Sarah Palin,https://static.votesmart.org/static/canphoto/27200.jpg,Alaska ,U.S. House ,At-Large 
Mary Peltola,https://static.votesmart.org/static/canphoto/15858.jpg,Alaska ,U.S. House ,At-Large 
Sherry Strizak,https://static.votesmart.org/static/canphoto/207821.jpg,Alaska ,U.S. House ,At-Large 
Tara Sweeney,https://static.votesmart.org/static/canphoto/27209.jpg,Alaska ,U.S. House ,At-Large 
Ernest Thomas,https://static.votesmart.org/static/canphoto/207622.jpg,Alaska ,U.S. House ,At-Large 
David Ambrose,https://static.votesmart.org/static/canphoto/210770.jpg,Alaska ,U.S. House ,At-Large 
Jay Armstrong,https://static.votesmart.org/static/canphoto/207599.jpg,Alaska ,U.S. House ,At-Large 
Joe Bredar,https://static.votesmart.org/static/canphoto/210771.jpg,Alaska ,U.S. House ,At-Large 
"William Boyd, Jr.",https://static.votesmart.org/static/canphoto/167060.jpg,Alabama ,U.S. Senate ,
Katie Britt,https://static.votesmart.org/static/canphoto/201704.jpg,Alabama ,U.S. Senate ,
John Sophocleus,https://static.votesmart.org/static/canphoto/27538.jpg,Alabama ,U.S. Senate ,
Jerry Carl,https://static.votesmart.org/static/canphoto/143749.jpg,Alabama ,U.S. House ,1 
Alexander Remrey,https://static.votesmart.org/static/canphoto/210129.jpg,Alabama ,U.S. House ,1 
Phyllis Harvey-Hall,https://static.votesmart.org/static/canphoto/188303.jpg,Alabama ,U.S. House ,2 
Barry Moore,https://static.votesmart.org/static/canphoto/121792.jpg,Alabama ,U.S. House ,2 
Jonathan Realz,https://static.votesmart.org/static/canphoto/209789.jpg,Alabama ,U.S. House ,2 
Douglas Bell,https://static.votesmart.org/static/canphoto/168137.jpg,Alabama ,U.S. House ,3 
Thomas Casson,https://static.votesmart.org/static/canphoto/149887.jpg,Alabama ,U.S. House ,3 
Mike Rogers,https://static.votesmart.org/static/canphoto/5705.jpg,Alabama ,U.S. House ,3 
Lin Veasey,https://static.votesmart.org/static/canphoto/207106.jpg,Alabama ,U.S. House ,3 
Robert Aderholt,https://static.votesmart.org/static/canphoto/441.jpg,Alabama ,U.S. House ,4 
Johnny Cochran,https://static.votesmart.org/static/canphoto/210130.jpg,Alabama ,U.S. House ,4 
Rick Neighbors,https://static.votesmart.org/static/canphoto/135112.jpg,Alabama ,U.S. House ,4 
Phillip Greer,https://static.votesmart.org/static/canphoto/210131.jpg,Alabama ,U.S. House ,5 
Dale Strong,https://static.votesmart.org/static/canphoto/81485.jpg,Alabama ,U.S. House ,5 
Kathy Warner-Stanton,https://static.votesmart.org/static/canphoto/201699.jpg,Alabama ,U.S. House ,5 
Andria Chieffo,https://static.votesmart.org/static/canphoto/210132.jpg,Alabama ,U.S. House ,6 
Gary Palmer,https://static.votesmart.org/static/canphoto/146274.jpg,Alabama ,U.S. House ,6 
Gavin Goodman,https://static.votesmart.org/static/canphoto/210133.jpg,Alabama ,U.S. House ,7 
Beatrice Nichols,https://static.votesmart.org/static/canphoto/201713.jpg,Alabama ,U.S. House ,7 
Terri Sewell,https://static.votesmart.org/static/canphoto/121621.jpg,Alabama ,U.S. House ,7 
John Boozman,https://static.votesmart.org/static/canphoto/27958.jpg,Arkansas ,U.S. Senate ,
Kenneth Cates,https://static.votesmart.org/static/canphoto/202472.jpg,Arkansas ,U.S. Senate ,
Richard Gant,https://static.votesmart.org/static/canphoto/202471.jpg,Arkansas ,U.S. Senate ,
James Garner,https://static.votesmart.org/static/canphoto/202481.jpg,Arkansas ,U.S. Senate ,
Natalie James,https://static.votesmart.org/static/canphoto/202477.jpg,Arkansas ,U.S. Senate ,
Stuart Shirrell,https://static.votesmart.org/static/canphoto/202470.jpg,Arkansas ,U.S. Senate ,
Rick Crawford,https://static.votesmart.org/static/canphoto/119208.jpg,Arkansas ,U.S. House ,1 
Roger Daugherty,https://static.votesmart.org/static/canphoto/202460.jpg,Arkansas ,U.S. House ,1 
Monte Hodges,https://static.votesmart.org/static/canphoto/136675.jpg,Arkansas ,U.S. House ,1 
Quintessa Hathaway,https://static.votesmart.org/static/canphoto/202465.jpg,Arkansas ,U.S. House ,2 
French Hill,https://static.votesmart.org/static/canphoto/146290.jpg,Arkansas ,U.S. House ,2 
Michael White,https://static.votesmart.org/static/canphoto/202464.jpg,Arkansas ,U.S. House ,2 
